链接,文件名
http://chinajob.mohrss.gov.cn/c/2021-06-09/308880.shtml,北京市关于印发《北京市工伤预防五年行动计划 实施方案（2021-2025年）》的通知（京人社工字〔2021〕28号）
http://chinajob.mohrss.gov.cn/c/2021-06-09/308877.shtml,人力资源社会保障部 国家乡村振兴局关于举办全国乡村振兴职业技能大赛的通知（人社部函〔2021〕63号）
http://chinajob.mohrss.gov.cn/c/2021-06-01/306684.shtml,福建省人力资源和社会保障厅关于印发《福建省职业技能电子培训券管理暂行办法》的通知（闽人社文〔2021〕64号）
http://chinajob.mohrss.gov.cn/c/2021-06-01/306570.shtml,河南省人力资源和社会保障厅 河南省财政厅 河南省农业农村厅关于举办2021年度“凤归中原”返乡创业大赛的通知
http://chinajob.mohrss.gov.cn/c/2021-05-31/306383.shtml,广西南宁：南宁市人力资源和社会保障局关于落实做好农民工创业就业补贴工作的通知（南人社规〔2021〕4号）
http://chinajob.mohrss.gov.cn/c/2021-06-02/306323.shtml,人力资源社会保障部 全国博士后管理委员会关于举办2021年全国博士后创新创业大赛的通知 （人社部函﹝2021﹞55号）
http://chinajob.mohrss.gov.cn/c/2021-06-02/306321.shtml,人力资源社会保障部 国家发展改革委 教育部 财政部 中央军委国防动员部关于延续实施部分减负稳岗扩就业政策措施的通知 （人社部发【2021】29号）
http://chinajob.mohrss.gov.cn/c/2021-05-28/306319.shtml,人力资源社会保障部 财政部 教育部关于扩大院校毕业年度毕业生参加职业技能培训有关政策范围的通知（人社部发〔2021〕31号）
http://chinajob.mohrss.gov.cn/c/2021-05-31/306147.shtml,西藏自治区关于认真贯彻执行最低工资标准有关问题的通知（藏人社办〔2021〕113号）
http://chinajob.mohrss.gov.cn/c/2021-05-28/304850.shtml,关于征集技工教育和职业培训领域课题选题的函（人社鉴函〔2021〕11号）
http://chinajob.mohrss.gov.cn/c/2021-05-31/303993.shtml,江西省关于组织开展2021年“振兴杯”职业技能大赛的通知（赣人社字〔2021〕 号）
